window,buy_and_hold_return,strategy_return,alpha,buy_and_hold_prob,strategy_prob,alpha_prob
1,1.0,1.0,1.0,0.0,0.0,0.11004456633527597
2,1.0011609564459176,1.0011465485137545,1.002051990800392,0.49108367626886146,0.11488340192043896,0.4149519890260631
3,1.0023526007847636,1.0024170083879822,1.0042591477939262,0.4648370497427101,0.12521440823327615,0.4425385934819897
4,1.0036252692460705,1.0039935891882796,1.0066268532220257,0.46705559368565547,0.13143445435827042,0.43891557995881947
5,1.0049782221200847,1.005661969105558,1.0090123852958843,0.45623069001029865,0.14040508067284585,0.45211122554067973
6,1.0064553331271548,1.0073130399850245,1.0114050692189527,0.44368131868131866,0.14835164835164835,0.4694368131868132
7,1.0078751823086378,1.00915397403854,1.013872888394742,0.44314668498797666,0.1576777739608382,0.47612504294057023
8,1.0093961506198237,1.0111770041596932,1.0164841555170168,0.44192439862542954,0.16563573883161511,0.4807560137457045
9,1.0110911134947775,1.0130960281749004,1.01904363777698,0.43451357854932965,0.1701615675489859,0.4905465795806119
10,1.0128594668658348,1.0151177050051956,1.0216044504787254,0.42881705639614853,0.1750343878954608,0.49896836313617604
11,1.0146560181396531,1.0172933793260563,1.0242630748107235,0.4282765737874097,0.18163054695562436,0.5042999656002752
12,1.0163852361783547,1.0194347095931426,1.026958319700063,0.4291121816930489,0.19236063317274604,0.5116999311768754
13,1.0181867535214943,1.021679475691702,1.0296194549661875,0.42271944922547333,0.19827882960413082,0.5215146299483648
14,1.0199572070684435,1.0238639940351828,1.0322257053601371,0.43009641873278237,0.20867768595041322,0.5230716253443526
15,1.0218634347883424,1.02613469357102,1.0348557468444253,0.4226662073716845,0.21391663796073027,0.5311746469169825
16,1.023584429407309,1.0284548284933812,1.037414722467174,0.42487939352170917,0.22088215024121297,0.5358373535492763
17,1.0253936446118412,1.0310699651444357,1.0399877902123595,0.42537056187521544,0.22819717338848672,0.5394691485694588
18,1.0272076658469338,1.034317091107411,1.0425855552850518,0.42931034482758623,0.23344827586206895,0.5410344827586206
19,1.0289615950362103,1.0376810863628718,1.0452292892608377,0.4304932735426009,0.23801310796826491,0.5446705760607106
20,1.0307179101019073,1.0408398503636163,1.0477928636448943,0.42684610075914425,0.2432712215320911,0.5496894409937888
21,1.032586608144048,1.0439108577020197,1.0504531879136112,0.432861580945806,0.24887814981014844,0.5495340006903694
22,1.0343793537336343,1.0471321879286848,1.053105189717543,0.4299033149171271,0.2548342541436464,0.5542127071823204
23,1.0361493986881036,1.0504278865647398,1.0557036243622633,0.43316062176165804,0.25906735751295334,0.553713298791019
24,1.0379664304140612,1.0539212461665153,1.058359141521877,0.4257083621285418,0.26088458880442295,0.5608154803040774
25,1.0396753336586222,1.0573234301509968,1.0609262098964076,0.42343587970964397,0.2658140338748704,0.5651572761838921
