window,buy_and_hold_return,strategy_return,alpha,buy_and_hold_prob,strategy_prob,alpha_prob
1,1.0,1.0,1.0,0.0,0.0,0.1378169790518192
2,1.0037831953174565,1.0,1.0158758245402837,0.44370860927152317,0.0,0.5540838852097131
3,0.9971754478315972,1.0,1.0199010811723213,0.4287292817679558,0.0,0.5712707182320442
4,0.9940843572333328,1.0,1.0294800137995848,0.4092920353982301,0.0,0.5907079646017699
5,0.9912715763982468,1.0,1.0375381979655973,0.4064230343300111,0.0,0.593576965669989
6,0.9873641278026303,1.0,1.044500404460681,0.38248337028824836,0.0,0.6175166297117517
7,0.9828617692482778,1.0,1.0525110822615045,0.36293007769145397,0.0,0.6370699223085461
8,0.9797244649846683,1.0,1.0598461778364818,0.36444444444444446,0.0,0.6355555555555555
9,0.9729922634726164,1.0,1.0669222329547825,0.3426028921023359,0.0,0.657397107897664
10,0.9701179795630849,1.0,1.0749719238208877,0.3530066815144766,0.0,0.6469933184855234
11,0.9656610945514283,1.0,1.082950172551403,0.33890746934225197,0.0,0.6610925306577481
12,0.9610551890562556,1.0,1.0912306162887957,0.32254464285714285,0.0,0.6774553571428571
13,0.9572511677616656,1.0,1.0999600316675444,0.31843575418994413,0.0,0.6815642458100558
14,0.9526210106680504,1.0,1.1084961396483963,0.32102908277404923,0.0,0.6789709172259508
15,0.94804336480435,1.0,1.117140189837357,0.3157894736842105,0.0,0.6842105263157895
16,0.9436941124967397,1.0,1.125892397274749,0.3060538116591928,0.0,0.6939461883408071
17,0.9385161227468425,1.0,1.1339721286474358,0.3041526374859708,0.0,0.6958473625140292
18,0.9358483866824995,1.0,1.1435259336543755,0.2943820224719101,0.0,0.7056179775280899
19,0.9318678672860847,1.0,1.1522222310511385,0.3014623172103487,0.0,0.6985376827896513
20,0.9289079475782392,1.0,1.1617910793280422,0.29504504504504503,0.0,0.704954954954955
21,0.924882291780477,1.0,1.1706148840418875,0.30101465614430667,0.0,0.6989853438556933
22,0.9200778220523871,1.0,1.1791550667346338,0.291196388261851,0.0,0.708803611738149
23,0.917101615014524,1.0,1.1891221635543416,0.2937853107344633,0.0,0.7062146892655368
24,0.9131637561227486,1.0,1.198232465880476,0.29524886877828055,0.0,0.7047511312217195
25,0.9093110655803981,1.0,1.2072833560108667,0.29331823329558326,0.0,0.7066817667044167
26,0.9057149478506038,1.0,1.2165011101023422,0.2868480725623583,0.0,0.7131519274376418
27,0.9026827674771897,1.0,1.2263716624972942,0.282633371169126,0.0,0.717366628830874
28,0.8999996175043063,1.0,1.2361442536559628,0.27045454545454545,0.0,0.7295454545454545
29,0.8968465980341516,1.0,1.2452140876225712,0.2696245733788396,0.0,0.7303754266211604
30,0.8935863555746701,1.0,1.2552464855265828,0.26879271070615035,0.0,0.7312072892938497
31,0.8910293335754087,1.0,1.2647645226391646,0.2668187001140251,0.0,0.7331812998859749
32,0.8880442794184622,1.0,1.2749250250733744,0.2659817351598174,0.0,0.7340182648401826
33,0.8856077764757724,1.0,1.2847811713739679,0.2674285714285714,0.0,0.7325714285714285
34,0.8832304434312505,1.0,1.295596521970996,0.2665903890160183,0.0,0.7334096109839817
35,0.8815567719439901,1.0,1.3061036003723563,0.2588774341351661,0.0,0.7411225658648339
36,0.8792439624723883,1.0,1.3162720240513872,0.2591743119266055,0.0,0.7408256880733946
37,0.87711899345361,1.0,1.327056911160208,0.2629161882893226,0.0,0.7370838117106774
38,0.8745071998397506,1.0,1.3377874505298082,0.26091954022988506,0.0,0.7390804597701149
39,0.871173419370047,1.0,1.3484713064249685,0.2669735327963176,0.0,0.7330264672036824
40,0.8689815454866612,1.0,1.359811340004347,0.26152073732718895,0.0,0.738479262672811
41,0.8659078143857248,1.0,1.3711342237204407,0.2606689734717416,0.0,0.7393310265282583
42,0.8643088004877919,1.0,1.382552743506961,0.26212471131639725,0.0,0.7378752886836027
43,0.8621721644421821,1.0,1.3942106015440832,0.261271676300578,0.0,0.738728323699422
44,0.859931746352259,1.0,1.4059476071935062,0.2638888888888889,0.0,0.7361111111111112
45,0.8574486191050236,1.0,1.4168118668097038,0.2688296639629201,0.0,0.7311703360370799
46,0.8543647066874551,1.0,1.4281478681411262,0.271461716937355,0.0,0.728538283062645
47,0.8512377493783618,1.0,1.4392409615959902,0.281068524970964,0.0,0.718931475029036
48,0.8462235389482865,1.0,1.4501583143568728,0.28255813953488373,0.0,0.7174418604651163
49,0.8462608807498609,1.0,1.4633493490925442,0.27939464493597205,0.0,0.7206053550640279
50,0.841250801782447,1.0,1.4736275337843896,0.28554778554778554,0.0,0.7144522144522144
51,0.8406633856350726,1.0,1.485992301716117,0.2847141190198366,0.0,0.7152858809801633
52,0.8391594427111789,1.0,1.4982023881399231,0.286214953271028,0.0,0.7137850467289719
53,0.8358925617194026,1.0,1.5098087371788416,0.28421052631578947,0.0,0.7157894736842105
54,0.8335642544510843,1.0,1.5219105556511627,0.2857142857142857,0.0,0.7142857142857143
55,0.8305590633782035,1.0,1.5338368733304595,0.28722157092614303,0.0,0.712778429073857
56,0.8285671505824395,1.0,1.5452603300802676,0.29107981220657275,0.0,0.7089201877934272
57,0.8262629406636139,1.0,1.5566790255336007,0.2878965922444183,0.0,0.7121034077555817
58,0.823860835120115,1.0,1.567606142209829,0.29058823529411765,0.0,0.7094117647058824
59,0.8218786517984518,1.0,1.5794231634365081,0.29328621908127206,0.0,0.7067137809187279
60,0.8194623507823033,1.0,1.590205199393624,0.29127358490566035,0.0,0.7087264150943396
61,0.8172709245458729,1.0,1.6014932121059835,0.2892561983471074,0.0,0.7107438016528925
62,0.8153737956678371,1.0,1.613305731798225,0.2860520094562648,0.0,0.7139479905437353
63,0.8126746335261322,1.0,1.624341609598249,0.285207100591716,0.0,0.714792899408284
64,0.8087436756078857,1.0,1.6358010822522902,0.28672985781990523,0.0,0.7132701421800948
65,0.8095326049347004,1.0,1.647943105942569,0.2858837485172005,0.0,0.7141162514827996
66,0.8045974542137658,1.0,1.658395422553186,0.2850356294536817,0.0,0.7149643705463183
67,0.8053404322467097,1.0,1.6704706400436247,0.28418549346016647,0.0,0.7158145065398336
68,0.8028942507409029,1.0,1.6811830383422826,0.28809523809523807,0.0,0.7119047619047619
69,0.7994041716625983,1.0,1.6856291044832186,0.28843861740166865,0.0,0.7115613825983313
70,0.8003852325625858,1.0,1.6976261992861363,0.28758949880668255,0.0,0.7124105011933174
71,0.7961917570925485,1.0,1.7015353518066159,0.2903225806451613,0.0,0.7096774193548387
72,0.7969991624612373,1.0,1.7114101169096492,0.28588516746411485,0.0,0.7141148325358851
73,0.7958281780473189,1.0,1.721440411675248,0.28622754491017965,0.0,0.7137724550898203
