window,buy_and_hold_return,strategy_return,alpha,buy_and_hold_prob,strategy_prob,alpha_prob
1,1.0,1.0,1.0,0.0,0.0,0.09049255441008018
2,0.9999594220063382,1.0033083906514901,1.0066585897907097,0.46674311926605505,0.11926605504587157,0.41628440366972475
3,1.0002438638787028,1.0070614621025962,1.0132400216736979,0.4890929965556831,0.1423650975889782,0.4121699196326062
4,0.9997128416402452,1.0100674404571255,1.0196026037192663,0.4793103448275862,0.1413793103448276,0.41839080459770117
5,0.9987850734092932,1.0130823660606978,1.0257527467671526,0.46950517836593786,0.14499424626006904,0.4315304948216341
6,0.9976559023719903,1.015911734345635,1.031915384039665,0.4573732718894009,0.1532258064516129,0.44815668202764974
7,0.9963908142995461,1.0187855721830295,1.0382544858620824,0.46482122260668973,0.15916955017301038,0.447520184544406
8,0.9949767530576717,1.0214841915884314,1.0448859667798098,0.44341801385681295,0.15935334872979215,0.4665127020785219
9,0.9936009777020135,1.0242963974833572,1.0514124314130004,0.4485549132947977,0.1745664739884393,0.4751445086705202
10,0.9921723031145794,1.0269667748342246,1.0576698317463735,0.4525462962962963,0.18171296296296297,0.47685185185185186
11,0.9908431321793906,1.0298095822099629,1.0640876654499565,0.44727694090382386,0.19119351100811124,0.4936268829663963
12,0.9895832157189621,1.0326018425329604,1.0702932777167289,0.4443155452436195,0.1937354988399072,0.4988399071925754
13,0.9881875730547737,1.0351777149412007,1.0766399651041776,0.437862950058072,0.2032520325203252,0.5156794425087108
14,0.9867597689022527,1.037890383752896,1.0830093440169903,0.43372093023255814,0.21046511627906977,0.522093023255814
15,0.9858521572692552,1.0411394384313233,1.089817048126834,0.42724097788125726,0.21885913853317812,0.5355064027939465
16,0.9846765428609815,1.0442152518895724,1.0964912909341094,0.4160839160839161,0.22261072261072262,0.548951048951049
17,0.9831785816591397,1.0468084672867564,1.10300251691764,0.40956826137689617,0.22637106184364061,0.5554259043173863
18,0.9820395184561256,1.0498884122315113,1.1092462187446421,0.4158878504672897,0.2371495327102804,0.5607476635514018
19,0.9811793951881285,1.0533330365427875,1.1158529720412547,0.4093567251461988,0.24210526315789474,0.5637426900584795
20,0.9801336986336688,1.0565113660287655,1.122527382820318,0.4016393442622951,0.24824355971896955,0.5761124121779859
21,0.9789283687080061,1.05980056953337,1.1294485445061573,0.388042203985932,0.2485345838218054,0.5873388042203986
22,0.9777085536544848,1.062973869785163,1.136430356228226,0.38380281690140844,0.25234741784037557,0.5868544600938967
23,0.976290788229241,1.06589840613118,1.1432288316395696,0.3807285546415981,0.25616921269095183,0.5957696827262045
24,0.9749986831235412,1.068930714082218,1.1500736558242164,0.3776470588235294,0.26235294117647057,0.6023529411764705
25,0.973859713583524,1.0721627996118521,1.156929149710134,0.38515901060070673,0.2767962308598351,0.6065959952885748
26,0.9727265546957617,1.0754304528420437,1.1638867846958587,0.37028301886792453,0.2759433962264151,0.6214622641509434
27,0.9715349868513411,1.0787648425996967,1.171173825927407,0.3730814639905549,0.2845336481700118,0.6328217237308147
28,0.9702218326965057,1.081964271210722,1.1786756015699176,0.3747044917257683,0.28841607565011823,0.6430260047281324
29,0.9687278222419436,1.0850307572265228,1.1862406946090767,0.3609467455621302,0.2958579881656805,0.6579881656804734
30,0.9672003871655698,1.088048998579232,1.193349139001592,0.37203791469194314,0.3033175355450237,0.6563981042654028
31,0.9654987033871725,1.0910019304387577,1.2004518853671127,0.37129300118623965,0.31316725978647686,0.6690391459074733
32,0.963543409706409,1.0938984501384663,1.207767679166393,0.37885985748218526,0.3182897862232779,0.667458432304038
33,0.9620376350513056,1.0971153740586208,1.215058761908722,0.37217598097502974,0.3269916765755054,0.6741973840665874
34,0.9609396057482069,1.1005104928910163,1.222412304260977,0.37857142857142856,0.33095238095238094,0.6773809523809524
35,0.9595955207654807,1.103860038600691,1.2299072732680914,0.38617401668653156,0.33492252681764006,0.6734207389749702
36,0.9580406637434777,1.1070103027401137,1.237339371258326,0.3747016706443914,0.33770883054892603,0.6825775656324582
37,0.9563681983729082,1.1102406083906429,1.2449041883448364,0.38829151732377537,0.3428912783751493,0.6821983273596177
38,0.9547777294703678,1.1136098787349384,1.2527656075582352,0.3839712918660287,0.35047846889952156,0.6889952153110048
39,0.953049808240592,1.116907420065487,1.2607079568894362,0.38562874251497004,0.35808383233532937,0.6946107784431138
40,0.9513926172100609,1.1202383988949636,1.2684406560945285,0.3800959232613909,0.36330935251798563,0.7026378896882494
41,0.9497234671037866,1.1234832041254075,1.2757697354878896,0.38055222088835533,0.3673469387755102,0.709483793517407
42,0.9478885599575081,1.1265787900364552,1.2833962924627456,0.38100961538461536,0.375,0.7139423076923077
43,0.9458567923512935,1.129581258953842,1.2912516441356297,0.38267148014440433,0.37906137184115524,0.7148014440433214
44,0.9439328827043951,1.1326125529209723,1.2996139922687504,0.38313253012048193,0.38433734939759034,0.7132530120481928
45,0.9416197960012347,1.1357423051778708,1.30781748181559,0.3835946924004825,0.39203860072376356,0.7141133896260555
46,0.9395342160310216,1.1389022867144643,1.3160346451509422,0.3864734299516908,0.392512077294686,0.7137681159420289
47,0.9375238154350714,1.1420699379623065,1.3242046452415466,0.38694074969770254,0.3966142684401451,0.717049576783555
48,0.9352449718865683,1.1452153443495021,1.33283394301307,0.37772397094430993,0.39709443099273606,0.7312348668280871
49,0.9330444915966862,1.1484194654431312,1.3415377302494083,0.37333333333333335,0.4024242424242424,0.7381818181818182
50,0.9309310272818082,1.1515450926664426,1.3505220423778272,0.3786407766990291,0.40898058252427183,0.7402912621359223
51,0.9287679503275513,1.154576472288721,1.3595189408900468,0.3754556500607533,0.41433778857837184,0.74726609963548
