Date,Close,Open,High,Low,Volume,pct_change,epoch_signal,weight,day_of_week,day_of_month,month,year
2022-03-14,0.0052579999901354,0.0042759999632835,0.0052640000358223,0.0042690001428127,104587.0,0.45412212558222503,1.0,0.4744002864303616,0,14,3,2022
2022-03-15,0.0061220000497996,0.0052579999901354,0.0074749998748302,0.0051600001752376,216444.0,0.2631018542106728,0.0,0.05119942713927677,1,15,3,2022
2022-03-16,0.0066789998672902,0.0061220000497996,0.0066789998672902,0.005824000108987,74406.0,0.170940225167006,0.0,0.05119942713927677,2,16,3,2022
2022-03-17,0.0088099995627999,0.0066789998672902,0.0090539995580911,0.0066789998672902,191542.0,-0.11281165023865618,0.0,0.05119942713927677,3,17,3,2022
2022-03-18,0.0097529999911785,0.0088099995627999,0.0098440004512667,0.0084330001845955,102480.0,-0.20191967846655481,0.0,0.05119942713927677,4,18,3,2022
2022-03-19,0.0088130002841353,0.0097529999911785,0.0100320000201463,0.008475000038743,75328.0,-0.11168987618888036,0.0,0.05119942713927677,5,19,3,2022
2022-03-20,0.0067520001903176,0.0088130002841353,0.0088649997487664,0.0060499999672174,153774.0,0.1706638469634213,0.0,0.05119942713927677,6,20,3,2022
2022-03-21,0.0057339998893439,0.0067520001903176,0.0073950001969933,0.0055749998427927,103994.0,0.3971443845074885,1.0,0.4744002864303616,0,21,3,2022
2022-03-22,0.0058849998749792,0.0057339998893439,0.0064150001853704,0.0057160002179443,42202.0,0.3818839788497555,1.0,0.4744002864303616,1,22,3,2022
2022-03-23,0.0060669998638331,0.0058849998749792,0.0060979998670518,0.0057910000905394,15646.0,0.3568006957142382,0.0,0.05119942713927677,2,23,3,2022
2022-03-24,0.0065580001100897,0.0060669998638331,0.0069800000637769,0.0060669998638331,75022.0,0.26588059963599014,0.0,0.05119942713927677,3,24,3,2022
2022-03-25,0.0056799999438226,0.0065580001100897,0.007048999890685,0.0056799999438226,63046.0,0.472455707480312,1.0,0.4744002864303616,4,25,3,2022
2022-03-26,0.0057500000111758,0.0056799999438226,0.0058499998413026,0.0054239998571574,33037.0,0.45978119520537564,1.0,0.4744002864303616,5,26,3,2022
2022-03-27,0.004838999826461,0.0057500000111758,0.0057899998500943,0.004335000179708,107405.0,0.7441154085583901,1.0,0.4744002864303616,6,27,3,2022
2022-03-28,0.0047249998897314,0.004838999826461,0.0051609999500215,0.0047249998897314,32541.0,0.7956853075093937,1.0,0.4744002864303616,0,28,3,2022
2022-03-29,0.0044900001958012,0.0047249998897314,0.0052269999869167,0.0044390000402927,35762.0,0.8966519700951067,1.0,0.4744002864303616,1,29,3,2022
2022-03-30,0.0039530000649392,0.0044900001958012,0.0044920002110302,0.0036289999261498,52680.0,1.163460948696938,1.0,0.4744002864303616,2,30,3,2022
2022-03-31,0.0038610000628978,0.0039530000649392,0.0041060000658035,0.0037819999270141,23521.0,1.2214702433130165,1.0,0.4744002864303616,3,31,3,2022
2022-04-01,0.0037930000107735,0.0038610000628978,0.0038610000628978,0.0032820000778883,39086.0,1.266313995524355,1.0,0.4744002864303616,4,1,4,2022
2022-04-02,0.0043219998478889,0.0037930000107735,0.0043489998206496,0.0037299999967217,36871.0,0.987461069655673,1.0,0.4744002864303616,5,2,4,2022
2022-04-03,0.0067250002175569,0.0043219998478889,0.0070750000886619,0.0042940001003444,103327.0,0.26510608517640627,0.0,0.05119942713927677,6,3,4,2022
2022-04-04,0.0082219997420907,0.0067250002175569,0.0082390001043677,0.0060800001956522,98623.0,0.018118218762296093,0.0,0.05119942713927677,0,4,4,2022
