Date,Close,Open,High,Low,Volume,pct_change,epoch_signal,weight
2024-04-11,1.0540579558418823,0.9975230098770691,1.1842149497078491,0.9021689892815186,466319.0000000001,0.054247588636757764,1.0,0.0645879732739421
2024-04-12,1.0049999953316284,1.0540579558418823,1.0679700375603272,0.8454239965485169,312547.0000000001,0.14646729919720383,1.0,0.0645879732739421
2024-04-13,0.8334299922989441,1.0070489646004273,1.0927480460213257,0.7487919927643372,366703.0000000001,0.4346392098893684,1.0,0.0645879732739421
2024-04-14,0.8606950045631958,0.8334299922989441,1.0730619431541992,0.741985023121698,319735.0000000001,0.43785759507114247,1.0,0.0645879732739421
2024-04-15,0.8535739780472351,0.8531039954231812,1.0279029608772827,0.7386080027626587,349667.0000000001,0.48453899037415293,1.0,0.0645879732739421
2024-04-16,0.7761160136269165,0.8509989977882935,0.9002379776047302,0.73819899569021,112179.0000000001,0.6715716066784173,1.0,0.0645879732739421
2024-04-17,0.6927679778145386,0.7781519890831543,0.8604689837502075,0.6830809713409973,163767.0000000001,0.9263680037172517,1.0,0.0645879732739421
2024-04-18,0.8110730052994324,0.6715970040367676,0.8332840205238892,0.628944993119104,175142.0000000001,0.689385876402684,1.0,0.0645879732739421
2024-04-19,1.3178759814308716,0.8512610198067261,1.4214669467018677,0.5333700181053711,1562656.0,0.06389286229559694,1.0,0.0645879732739421
2024-04-20,1.3334050179527832,1.3178759814308716,1.4462980032967163,1.2028670311974121,621838.0000000001,0.06650603099312366,1.0,0.0645879732739421
2024-04-21,1.101233959297998,1.3441940547035767,1.3441959620522095,0.9312340022133423,335265.0000000001,0.3354129313749657,1.0,0.0645879732739421
2024-04-22,1.2984600068138672,0.9700480104492737,1.309509039025171,0.9680579901741577,274215.0000000001,0.1595772738165712,1.0,0.0645879732739421
2024-04-23,1.4952479601906372,1.2984600068138672,1.7090400458382202,1.2984600068138672,765983.0000000001,0.023694330051420742,1.0,0.0645879732739421
2024-04-24,1.5553499461220337,1.4934149981545044,1.621999979119165,1.1557869912193848,660996.0000000001,0.0027480674127573095,1.0,0.0645879732739421
2024-04-25,1.6231039763496948,1.545093059639795,1.6678470374153687,1.3626190424965454,267123.0000000001,-0.029824183280080074,0.0,0.8708240534521159
2024-04-26,1.57846200476156,1.6231039763496948,1.7622309924171997,1.5112849474953247,320836.0000000001,0.0027966226325214583,1.0,0.0645879732739421
2024-04-27,1.4420340062187744,1.587393045525415,1.5969359875725342,1.3691489697502686,155992.0000000001,0.1120926126869091,1.0,0.0645879732739421
2024-04-28,1.447092056374414,1.4420340062187744,1.5974359513329102,1.4376029969261719,161879.0000000001,0.12056781836846862,1.0,0.0645879732739421
2024-04-29,1.268072009186609,1.447092056374414,1.4470980168388916,1.0861879588173462,247211.0000000001,0.30758015217875034,1.0,0.0645879732739421
2024-04-30,1.1984909773872925,1.268072009186609,1.3317739964531494,1.0144619942711426,182920.0000000001,0.4107045291501696,1.0,0.0645879732739421
2024-05-01,1.2134640217827393,1.1984909773872925,1.3261350394295288,1.087664008240564,182165.0000000001,0.4427174486398258,1.0,0.0645879732739421
2024-05-02,1.31072199354635,1.2134640217827393,1.3663430214928223,1.2134640217827393,115166.0000000001,0.37011690276311987,1.0,0.0645879732739421
2024-05-03,1.7639659644173218,1.377958059410913,1.7856049538658691,1.3765579463051392,232417.0000000001,0.03108026582562576,1.0,0.0645879732739421
2024-05-04,1.6134840251015259,1.7639659644173218,1.8058340550468994,1.5649770499275757,127607.0000000001,0.15074763155674079,1.0,0.0645879732739421
2024-05-05,1.7804800272987915,1.6134840251015259,1.8548619748161865,1.555853009323938,292482.0000000001,0.0512875948074076,1.0,0.0645879732739421
2024-05-06,1.7893370390938355,1.7804800272987915,1.936872959236963,1.694885015587671,323444.0000000001,0.07315016592362625,1.0,0.0645879732739421
