Date,Close,Open,High,Low,Volume,pct_change,epoch_signal,weight
2024-03-26,0.022841001029474832,0.030279999698860742,0.03936700160370598,0.019624000515205957,103245687.0,-0.19679162016034193,0.0,0.04532967032967034
2024-03-27,0.025182999770505525,0.02279699976311455,0.03539999956951866,0.022130999814136125,70324208.0,-0.30501726328807205,-1.0,0.4773351648351648
2024-03-28,0.021113000910146333,0.025086000661714174,0.02784400070772896,0.020076999540789224,37620189.0,-0.2001689655139964,0.0,0.04532967032967034
2024-03-29,0.01693199957476387,0.021113000910146333,0.02156299921439419,0.016271000828011133,26541040.0,-0.02698536395616513,0.0,0.04532967032967034
2024-03-30,0.018851999293429948,0.01693199957476387,0.018904000620706178,0.014329999785287475,21507933.0,-0.1581529426837096,0.0,0.04532967032967034
2024-03-31,0.01782600032852421,0.018851999293429948,0.021052999521954156,0.016711000453097917,14844080.0,-0.14659767377295144,0.0,0.04532967032967034
2024-04-01,0.01995000066922436,0.01782600032852421,0.02018599967227707,0.01676600063906441,10940542.0,-0.283567272687663,-1.0,0.4773351648351648
2024-04-02,0.01936200084851513,0.01995000066922436,0.020813999797566034,0.017537999998195268,11787126.0,-0.3056201465559136,-1.0,0.4773351648351648
2024-04-03,0.01721400032506714,0.01936200084851513,0.020308999444706537,0.017060000549419023,8884512.0,-0.2591204985535122,-1.0,0.4773351648351648
2024-04-04,0.016975000600679017,0.01721400032506714,0.017709000136120416,0.016911000113351442,6386848.0,-0.2903976722587351,-1.0,0.4773351648351648
2024-04-05,0.015970999474985696,0.016975000600679017,0.016976000841124154,0.015049999679787254,5836854.0,-0.28458871298341043,-1.0,0.4773351648351648
2024-04-06,0.015021000157458877,0.015970999474985696,0.015970999474985696,0.014588000352842903,4905741.0,-0.2741661756158204,-1.0,0.4773351648351648
2024-04-07,0.01575399945245514,0.015021000157458877,0.01769400025473366,0.014814999985857105,7441098.0,-0.34119374485882803,-1.0,0.4773351648351648
