Date,Close,Open,High,Low,Volume,pct_change,epoch_signal,weight,day_of_week,day_of_month,month,year
2021-09-02,0.08299800008535385,0.08799999952316284,0.10484299808740616,0.061000000685453415,74252308.0,1.343420929436544,1.0,0.04083769633507853,3,2,9,2021
2021-09-03,0.15285100042819977,0.08201300352811813,0.1693899929523468,0.07212000340223312,97829478.0,0.2517418938847341,1.0,0.04083769633507853,4,3,9,2021
2021-09-04,0.23187300562858582,0.1526940017938614,0.27733099460601807,0.15192799270153046,183166589.0,-0.26579745531284066,-1.0,0.04083769633507853,5,4,9,2021
2021-09-05,0.2110379934310913,0.23118199408054352,0.26006999611854553,0.17371200025081635,109929997.0,-0.2809718715313376,-1.0,0.04083769633507853,6,5,9,2021
2021-09-06,0.1822350025177002,0.21145400404930115,0.2137410044670105,0.17652000486850739,60655645.0,-0.2448829821194245,-1.0,0.04083769633507853,0,6,9,2021
2021-09-07,0.140174001455307,0.18206200003623962,0.1826069951057434,0.11904799938201904,69385724.0,-0.010422754827883046,1.0,0.04083769633507853,1,7,9,2021
2021-09-08,0.1475200057029724,0.14209400117397308,0.16400299966335297,0.127469003200531,58881434.0,-0.07696585319043628,-1.0,0.04083769633507853,2,8,9,2021
2021-09-09,0.13704000413417816,0.1426829993724823,0.14890600740909576,0.1328040063381195,57939915.0,-0.02405321249735909,-1.0,0.04083769633507853,3,9,9,2021
2021-09-10,0.12570099532604218,0.1369359940290451,0.14166699349880219,0.12071099877357483,43107434.0,0.06871073139464878,1.0,0.04083769633507853,4,10,9,2021
2021-09-11,0.14459100365638733,0.12544399499893188,0.15304100513458252,0.12431900203227997,53165011.0,-0.0961730128333157,-1.0,0.04083769633507853,5,11,9,2021
2021-09-12,0.1373320072889328,0.1449030041694641,0.14521199464797974,0.13324099779129028,32068703.0,-0.06870218674843578,-1.0,0.04083769633507853,6,12,9,2021
2021-09-13,0.12735100090503693,0.13726800680160522,0.1381700038909912,0.12392999976873398,34045623.0,-0.03919485042850304,-1.0,0.04083769633507853,0,13,9,2021
2021-09-14,0.12807799875736237,0.12703099846839905,0.1351040005683899,0.12580999732017517,15596623.0,-0.07929934245620998,-1.0,0.04083769633507853,1,14,9,2021
2021-09-15,0.12997999787330627,0.12807700037956238,0.13317500054836273,0.12773500382900238,8953350.0,-0.14647829942415344,-1.0,0.04083769633507853,2,15,9,2021
2021-09-16,0.12617899477481842,0.12992799282073975,0.12992799282073975,0.12604500353336334,13548342.0,-0.17947317988093384,-1.0,0.04083769633507853,3,16,9,2021
2021-09-17,0.10520099848508835,0.1261799931526184,0.12942199409008026,0.10148700326681137,38793882.0,-0.06961196583048859,-1.0,0.04083769633507853,4,17,9,2021
2021-09-18,0.11032599955797195,0.10519800335168839,0.11180199682712555,0.10307499766349792,19112040.0,-0.16311884589813205,-1.0,0.04083769633507853,5,18,9,2021
2021-09-19,0.10205700248479843,0.11025899648666382,0.1107499971985817,0.1014690026640892,12725566.0,-0.11532528550629698,-1.0,0.04083769633507853,6,19,9,2021
2021-09-20,0.09654899686574936,0.10194200277328491,0.10389400273561478,0.08922900259494781,29355236.0,-0.09466433338758304,-1.0,0.04083769633507853,0,20,9,2021
2021-09-21,0.08257900178432465,0.09702599793672562,0.09927400201559067,0.07865399867296219,29111677.0,0.06657863994313745,1.0,0.04083769633507853,1,21,9,2021
2021-09-22,0.08813399821519852,0.08280199766159058,0.08995500206947327,0.0817670002579689,25701377.0,-0.021481476471883615,-1.0,0.04083769633507853,2,22,9,2021
2021-09-23,0.09388700127601624,0.08807799965143204,0.09402299672365189,0.08595000207424164,19026404.0,-0.11676271495798052,-1.0,0.04083769633507853,3,23,9,2021
