Date,Close,Open,High,Low,Volume,pct_change,epoch_signal,weight
2023-03-05,0.12608300159440766,0.12630400071607362,0.1263059974716736,0.12608300159440766,139581.0000000001,580.8840854194718,1.0,0.47126991791405115
2023-03-06,87.78095245371328,93.39739227304922,96.758544921975,86.00251007090078,908375.0000000001,-0.17531220164050193,0.0,0.05746016417189763
2023-03-07,85.22114562998281,87.78150939951406,89.71176147470938,78.70842742929922,535028.0000000001,-0.16018041667047148,0.0,0.05746016417189763
2023-03-08,79.79052734385,85.22132873545156,89.00049591074453,75.79986572275625,410425.0000000001,-0.11250640957973043,0.0,0.05746016417189763
2023-03-09,75.6289291382836,79.79047393808828,81.39994049082266,68.26343536386953,585235.0000000001,-0.07039210612638394,0.0,0.05746016417189763
2023-03-10,76.96381378183828,75.62837982187735,86.13915252695547,68.99971771250235,426846.0000000001,-0.0956367795122049,0.0,0.05746016417189763
2023-03-11,76.08383178720938,76.96208953867422,80.21454620371328,69.19662475595938,273948.0000000001,-0.09277901507418097,0.0,0.05746016417189763
2023-03-12,73.4541244507836,76.07163238535391,77.66983032236563,70.86507415781485,263940.0000000001,-0.06584224669053995,0.0,0.05746016417189763
2023-03-13,79.59539031992422,73.45674133310781,87.08187866220938,72.47088623056875,411044.0000000001,-0.14555897673414311,0.0,0.05746016417189763
2023-03-14,83.40251159677969,79.59341430674063,89.01111602793203,77.23129272470938,434609.0000000001,-0.19272806735570652,-1.0,0.47126991791405115
2023-03-15,80.202880859475,83.39913177500235,88.59481811533438,77.49696350107656,401898.0000000001,-0.168087740973666,0.0,0.05746016417189763
2023-03-16,79.17221832285391,80.20622253427969,86.96678924570547,77.1725082398461,297732.0000000001,-0.1655189505207588,0.0,0.05746016417189763
2023-03-17,74.81820678720938,79.16961669931875,81.61650848398672,71.20162963877188,375079.0000000001,-0.1247665545105874,0.0,0.05746016417189763
2023-03-18,75.99421691904531,74.81459045420156,80.20494079599844,72.15459442148672,471304.0000000001,-0.14644567481139736,0.0,0.05746016417189763
2023-03-19,75.27085876474844,75.99345397959219,81.20211792002188,74.87114715586172,333562.0000000001,-0.1468583223983643,0.0,0.05746016417189763
2023-03-20,84.09535217295156,75.27039337168203,90.12742614756094,73.20101928720938,352201.0000000001,-0.24769526931436714,-1.0,0.47126991791405115
2023-03-21,80.21420288095938,84.0997543335961,86.05719757090078,78.13916015635,264311.0000000001,-0.22232719342397958,-1.0,0.47126991791405115
2023-03-22,78.9530029297875,80.21526336679922,93.22234344492422,76.10741424570547,405135.0000000001,-0.22067515946873476,-1.0,0.47126991791405115
